incident_id,opened_on,site_code,site_name,region,workstream,category,severity,resolution_hours,impacted_units,impacted_orders,owner_team
INC-0000065,2025-01-26,MAD-02,Madrid Service Center,Europe,Inbound,Inventory variance,medium,20.3,7,6,Site Leadership
INC-0000066,2025-01-26,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Inbound,Carrier exception,high,12.3,15,9,Operations Excellence
INC-0000067,2025-01-27,FRA-01,Frankfurt Regional Hub,Europe,Kitting,Equipment reliability,low,17.3,17,2,Site Leadership
INC-0000068,2025-01-27,SIN-01,Singapore Control Tower,Asia Pacific,Inbound,Equipment reliability,medium,7.3,20,12,Site Leadership
INC-0000069,2025-01-29,JHB-01,Johannesburg Service Hub,Africa,Returns,Equipment reliability,high,5.4,8,4,Operations Excellence
INC-0000070,2025-01-29,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Fulfillment,Inventory variance,high,6.5,46,7,Operations Excellence
INC-0000071,2025-01-30,DAL-03,Dallas Omni-Channel Hub,North America,Returns,Inventory variance,low,14.8,10,5,Site Leadership
INC-0000072,2025-01-30,LHR-03,Milton Keynes Network Center,Europe,Returns,Supplier quality,medium,5.7,14,7,Site Leadership
INC-0000073,2025-01-30,JHB-01,Johannesburg Service Hub,Africa,Inbound,Carrier exception,medium,13.3,8,9,Site Leadership
INC-0000074,2025-01-30,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Fulfillment,Process discipline,low,25.5,26,3,Site Leadership
INC-0000075,2025-01-30,SYD-01,Sydney Service Campus,Asia Pacific,Inbound,Supplier quality,low,23.9,18,4,Site Leadership
INC-0000076,2025-02-01,ATL-01,Atlanta Fulfillment Center,North America,Inbound,Inventory variance,critical,8.4,13,16,Operations Excellence
INC-0000077,2025-02-01,MEX-01,Monterrey Export Gateway,Latin America,Returns,Supplier quality,critical,24.3,11,9,Operations Excellence
INC-0000078,2025-02-01,JHB-01,Johannesburg Service Hub,Africa,Returns,Process discipline,high,9.6,11,7,Operations Excellence
INC-0000079,2025-02-02,DXB-01,Dubai Regional Gateway,Middle East,Inbound,Carrier exception,low,25.0,11,4,Site Leadership
INC-0000080,2025-02-03,DAL-03,Dallas Omni-Channel Hub,North America,Kitting,Supplier quality,low,10.6,8,4,Site Leadership
INC-0000081,2025-02-04,DAL-03,Dallas Omni-Channel Hub,North America,Inbound,Equipment reliability,low,14.0,26,5,Site Leadership
INC-0000082,2025-02-04,DAL-03,Dallas Omni-Channel Hub,North America,Returns,Equipment reliability,low,14.5,16,3,Site Leadership
INC-0000083,2025-02-04,FRA-01,Frankfurt Regional Hub,Europe,Returns,Staffing instability,critical,11.4,15,10,Operations Excellence
INC-0000084,2025-02-05,FRA-01,Frankfurt Regional Hub,Europe,Inbound,Inventory variance,low,16.4,15,4,Site Leadership
INC-0000085,2025-02-05,SIN-01,Singapore Control Tower,Asia Pacific,Inbound,Inventory variance,low,9.2,15,3,Site Leadership
INC-0000086,2025-02-05,SIN-01,Singapore Control Tower,Asia Pacific,Returns,Equipment reliability,low,13.7,13,5,Site Leadership
INC-0000087,2025-02-06,ATL-01,Atlanta Fulfillment Center,North America,Fulfillment,Staffing instability,low,25.7,37,3,Site Leadership
INC-0000088,2025-02-07,ATL-01,Atlanta Fulfillment Center,North America,Returns,Process discipline,low,14.1,7,3,Site Leadership
INC-0000089,2025-02-07,FRA-01,Frankfurt Regional Hub,Europe,Returns,Carrier exception,low,20.8,14,5,Site Leadership
INC-0000090,2025-02-07,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Kitting,Equipment reliability,critical,23.8,8,7,Operations Excellence
INC-0000091,2025-02-07,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Kitting,Equipment reliability,critical,7.7,18,10,Operations Excellence
INC-0000092,2025-02-07,SYD-01,Sydney Service Campus,Asia Pacific,Inbound,Inventory variance,low,22.9,26,6,Site Leadership
INC-0000093,2025-02-08,MAD-02,Madrid Service Center,Europe,Fulfillment,Inventory variance,low,23.5,12,2,Site Leadership
INC-0000094,2025-02-08,JHB-01,Johannesburg Service Hub,Africa,Kitting,Equipment reliability,medium,12.5,3,8,Site Leadership
INC-0000095,2025-02-08,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Fulfillment,Staffing instability,low,5.8,13,4,Site Leadership
INC-0000096,2025-02-09,MAD-02,Madrid Service Center,Europe,Fulfillment,Process discipline,low,8.0,29,5,Site Leadership
INC-0000097,2025-02-10,DAL-03,Dallas Omni-Channel Hub,North America,Inbound,Inventory variance,low,25.1,30,8,Site Leadership
INC-0000098,2025-02-10,FRA-01,Frankfurt Regional Hub,Europe,Kitting,Equipment reliability,low,23.6,14,7,Site Leadership
INC-0000099,2025-02-11,ATL-01,Atlanta Fulfillment Center,North America,Fulfillment,Staffing instability,low,11.2,46,7,Site Leadership
INC-0000100,2025-02-12,ATL-01,Atlanta Fulfillment Center,North America,Returns,Staffing instability,low,21.7,10,1,Site Leadership
INC-0000101,2025-02-12,CHI-02,Chicago Distribution Campus,North America,Returns,Staffing instability,low,24.9,6,3,Site Leadership
INC-0000102,2025-02-12,SYD-01,Sydney Service Campus,Asia Pacific,Returns,Carrier exception,medium,21.7,9,10,Site Leadership
INC-0000103,2025-02-13,CHI-02,Chicago Distribution Campus,North America,Returns,Carrier exception,medium,23.2,9,8,Site Leadership
INC-0000104,2025-02-13,DAL-03,Dallas Omni-Channel Hub,North America,Fulfillment,Staffing instability,medium,8.2,32,7,Site Leadership
INC-0000105,2025-02-13,MEX-01,Monterrey Export Gateway,Latin America,Returns,Carrier exception,critical,30.5,12,11,Operations Excellence
INC-0000106,2025-02-13,DXB-01,Dubai Regional Gateway,Middle East,Fulfillment,Process discipline,medium,20.0,35,6,Site Leadership
INC-0000107,2025-02-13,DXB-01,Dubai Regional Gateway,Middle East,Kitting,Staffing instability,low,13.0,15,3,Site Leadership
INC-0000108,2025-02-13,SIN-01,Singapore Control Tower,Asia Pacific,Kitting,Carrier exception,low,22.5,11,6,Site Leadership
INC-0000109,2025-02-14,ATL-01,Atlanta Fulfillment Center,North America,Kitting,Supplier quality,medium,22.5,18,12,Site Leadership
INC-0000110,2025-02-14,CHI-02,Chicago Distribution Campus,North America,Fulfillment,Carrier exception,medium,6.7,33,5,Site Leadership
INC-0000111,2025-02-14,JHB-01,Johannesburg Service Hub,Africa,Fulfillment,Supplier quality,critical,32.7,19,6,Operations Excellence
INC-0000112,2025-02-15,CHI-02,Chicago Distribution Campus,North America,Fulfillment,Process discipline,medium,21.9,27,6,Site Leadership
INC-0000113,2025-02-15,DXB-01,Dubai Regional Gateway,Middle East,Inbound,Equipment reliability,medium,6.9,15,6,Site Leadership
INC-0000114,2025-02-17,DAL-03,Dallas Omni-Channel Hub,North America,Returns,Inventory variance,critical,27.3,20,8,Operations Excellence
INC-0000115,2025-02-17,FRA-01,Frankfurt Regional Hub,Europe,Returns,Supplier quality,low,14.4,18,6,Site Leadership
INC-0000116,2025-02-17,MAD-02,Madrid Service Center,Europe,Kitting,Staffing instability,low,22.9,13,4,Site Leadership
INC-0000117,2025-02-17,LHR-03,Milton Keynes Network Center,Europe,Fulfillment,Supplier quality,low,5.6,43,3,Site Leadership
INC-0000118,2025-02-17,JHB-01,Johannesburg Service Hub,Africa,Kitting,Inventory variance,low,17.4,7,4,Site Leadership
INC-0000119,2025-02-18,ATL-01,Atlanta Fulfillment Center,North America,Fulfillment,Process discipline,low,12.4,25,2,Site Leadership
INC-0000120,2025-02-18,FRA-01,Frankfurt Regional Hub,Europe,Kitting,Equipment reliability,low,9.7,15,4,Site Leadership
INC-0000121,2025-02-18,JHB-01,Johannesburg Service Hub,Africa,Returns,Process discipline,high,21.9,7,13,Operations Excellence
INC-0000122,2025-02-19,DXB-01,Dubai Regional Gateway,Middle East,Returns,Equipment reliability,medium,20.8,13,10,Site Leadership
INC-0000123,2025-02-20,CHI-02,Chicago Distribution Campus,North America,Fulfillment,Process discipline,low,8.4,20,7,Site Leadership
INC-0000124,2025-02-20,CHI-02,Chicago Distribution Campus,North America,Kitting,Inventory variance,low,16.0,11,4,Site Leadership
INC-0000125,2025-02-20,DAL-03,Dallas Omni-Channel Hub,North America,Returns,Staffing instability,low,24.0,23,6,Site Leadership
INC-0000126,2025-02-20,DAL-03,Dallas Omni-Channel Hub,North America,Inbound,Carrier exception,low,25.1,9,4,Site Leadership
INC-0000127,2025-02-20,FRA-01,Frankfurt Regional Hub,Europe,Inbound,Supplier quality,low,11.2,10,8,Site Leadership
INC-0000128,2025-02-20,MAD-02,Madrid Service Center,Europe,Kitting,Staffing instability,low,22.1,5,6,Site Leadership
INC-0000129,2025-02-21,FRA-01,Frankfurt Regional Hub,Europe,Inbound,Process discipline,low,25.0,36,8,Site Leadership
INC-0000130,2025-02-21,JHB-01,Johannesburg Service Hub,Africa,Inbound,Supplier quality,low,21.8,10,6,Site Leadership
INC-0000131,2025-02-22,JHB-01,Johannesburg Service Hub,Africa,Inbound,Process discipline,critical,9.5,8,8,Operations Excellence
INC-0000132,2025-02-22,SIN-01,Singapore Control Tower,Asia Pacific,Kitting,Staffing instability,low,6.4,10,4,Site Leadership
INC-0000133,2025-02-22,SYD-01,Sydney Service Campus,Asia Pacific,Fulfillment,Inventory variance,medium,15.7,11,7,Site Leadership
INC-0000134,2025-02-23,ATL-01,Atlanta Fulfillment Center,North America,Inbound,Staffing instability,low,6.4,10,6,Site Leadership
INC-0000135,2025-02-23,MAD-02,Madrid Service Center,Europe,Fulfillment,Process discipline,critical,33.9,18,9,Operations Excellence
INC-0000136,2025-02-23,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Returns,Inventory variance,low,12.2,3,8,Site Leadership
INC-0000137,2025-02-24,FRA-01,Frankfurt Regional Hub,Europe,Kitting,Process discipline,low,26.9,12,5,Site Leadership
INC-0000138,2025-02-24,MAD-02,Madrid Service Center,Europe,Returns,Supplier quality,low,9.1,9,7,Site Leadership
INC-0000139,2025-02-24,MAD-02,Madrid Service Center,Europe,Kitting,Process discipline,low,8.7,14,3,Site Leadership
INC-0000140,2025-02-24,SYD-01,Sydney Service Campus,Asia Pacific,Kitting,Inventory variance,low,23.6,6,6,Site Leadership
INC-0000141,2025-02-24,SYD-01,Sydney Service Campus,Asia Pacific,Inbound,Staffing instability,medium,22.7,11,4,Site Leadership
INC-0000142,2025-02-25,CHI-02,Chicago Distribution Campus,North America,Kitting,Process discipline,low,21.0,19,4,Site Leadership
INC-0000143,2025-02-25,DAL-03,Dallas Omni-Channel Hub,North America,Returns,Staffing instability,low,24.0,8,7,Site Leadership
INC-0000144,2025-02-26,ATL-01,Atlanta Fulfillment Center,North America,Returns,Carrier exception,low,12.8,20,3,Site Leadership
INC-0000145,2025-02-26,MEX-01,Monterrey Export Gateway,Latin America,Inbound,Process discipline,low,25.5,9,4,Site Leadership
INC-0000146,2025-02-26,LHR-03,Milton Keynes Network Center,Europe,Kitting,Staffing instability,critical,16.1,11,14,Operations Excellence
INC-0000147,2025-02-26,JHB-01,Johannesburg Service Hub,Africa,Fulfillment,Equipment reliability,low,7.0,24,4,Site Leadership
INC-0000148,2025-02-26,SIN-01,Singapore Control Tower,Asia Pacific,Kitting,Inventory variance,low,20.4,12,3,Site Leadership
INC-0000149,2025-02-27,JHB-01,Johannesburg Service Hub,Africa,Fulfillment,Staffing instability,low,4.1,16,5,Site Leadership
INC-0000150,2025-02-28,ATL-01,Atlanta Fulfillment Center,North America,Kitting,Equipment reliability,low,6.8,12,6,Site Leadership
INC-0000151,2025-02-28,ATL-01,Atlanta Fulfillment Center,North America,Returns,Inventory variance,medium,22.4,19,6,Site Leadership
INC-0000152,2025-02-28,FRA-01,Frankfurt Regional Hub,Europe,Fulfillment,Process discipline,low,24.7,30,7,Site Leadership
INC-0000153,2025-02-28,DXB-01,Dubai Regional Gateway,Middle East,Returns,Process discipline,critical,10.3,4,7,Operations Excellence
INC-0000154,2025-03-01,CHI-02,Chicago Distribution Campus,North America,Returns,Staffing instability,low,15.8,12,1,Site Leadership
INC-0000155,2025-03-01,MAD-02,Madrid Service Center,Europe,Returns,Inventory variance,medium,21.8,7,7,Site Leadership
INC-0000156,2025-03-01,JHB-01,Johannesburg Service Hub,Africa,Kitting,Process discipline,critical,26.3,7,9,Operations Excellence
INC-0000157,2025-03-01,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Returns,Supplier quality,low,24.6,13,2,Site Leadership
INC-0000158,2025-03-02,ATL-01,Atlanta Fulfillment Center,North America,Kitting,Staffing instability,low,21.1,13,7,Site Leadership
INC-0000159,2025-03-02,LHR-03,Milton Keynes Network Center,Europe,Returns,Carrier exception,low,7.7,6,2,Site Leadership
INC-0000160,2025-03-02,SIN-01,Singapore Control Tower,Asia Pacific,Inbound,Process discipline,low,9.7,12,3,Site Leadership
INC-0000161,2025-03-03,MEX-01,Monterrey Export Gateway,Latin America,Kitting,Process discipline,low,16.0,16,2,Site Leadership
INC-0000162,2025-03-03,JHB-01,Johannesburg Service Hub,Africa,Returns,Process discipline,critical,34.5,9,8,Operations Excellence
INC-0000163,2025-03-04,LHR-03,Milton Keynes Network Center,Europe,Returns,Process discipline,critical,25.2,15,7,Operations Excellence
INC-0000164,2025-03-04,SIN-01,Singapore Control Tower,Asia Pacific,Kitting,Carrier exception,medium,13.6,6,8,Site Leadership
INC-0000165,2025-03-05,MEX-01,Monterrey Export Gateway,Latin America,Inbound,Staffing instability,medium,9.2,16,4,Site Leadership
INC-0000166,2025-03-05,MAD-02,Madrid Service Center,Europe,Inbound,Inventory variance,low,23.6,25,6,Site Leadership
INC-0000167,2025-03-05,LHR-03,Milton Keynes Network Center,Europe,Fulfillment,Inventory variance,low,24.8,27,6,Site Leadership
INC-0000168,2025-03-05,JHB-01,Johannesburg Service Hub,Africa,Inbound,Carrier exception,low,6.8,17,8,Site Leadership
INC-0000169,2025-03-05,SIN-01,Singapore Control Tower,Asia Pacific,Fulfillment,Process discipline,low,11.1,9,4,Site Leadership
INC-0000170,2025-03-05,SYD-01,Sydney Service Campus,Asia Pacific,Kitting,Process discipline,high,26.2,7,5,Operations Excellence
INC-0000171,2025-03-06,DAL-03,Dallas Omni-Channel Hub,North America,Inbound,Supplier quality,low,11.3,22,7,Site Leadership
INC-0000172,2025-03-06,MEX-01,Monterrey Export Gateway,Latin America,Fulfillment,Supplier quality,critical,16.3,29,6,Operations Excellence
INC-0000173,2025-03-06,MEX-01,Monterrey Export Gateway,Latin America,Inbound,Staffing instability,critical,29.6,20,14,Operations Excellence
INC-0000174,2025-03-06,JHB-01,Johannesburg Service Hub,Africa,Fulfillment,Process discipline,critical,27.8,12,11,Operations Excellence
INC-0000175,2025-03-06,SIN-01,Singapore Control Tower,Asia Pacific,Returns,Staffing instability,low,25.4,8,7,Site Leadership
INC-0000176,2025-03-07,DAL-03,Dallas Omni-Channel Hub,North America,Inbound,Inventory variance,low,11.1,36,3,Site Leadership
INC-0000177,2025-03-07,DAL-03,Dallas Omni-Channel Hub,North America,Returns,Inventory variance,high,15.5,8,8,Operations Excellence
INC-0000178,2025-03-07,LHR-03,Milton Keynes Network Center,Europe,Returns,Inventory variance,medium,18.7,14,6,Site Leadership
INC-0000179,2025-03-07,JHB-01,Johannesburg Service Hub,Africa,Kitting,Inventory variance,critical,14.6,12,12,Operations Excellence
INC-0000180,2025-03-07,SIN-01,Singapore Control Tower,Asia Pacific,Kitting,Equipment reliability,low,18.2,10,6,Site Leadership
INC-0000181,2025-03-07,SYD-01,Sydney Service Campus,Asia Pacific,Returns,Equipment reliability,low,14.8,13,1,Site Leadership
INC-0000182,2025-03-07,SYD-01,Sydney Service Campus,Asia Pacific,Kitting,Supplier quality,low,26.8,11,7,Site Leadership
INC-0000183,2025-03-08,CHI-02,Chicago Distribution Campus,North America,Kitting,Equipment reliability,high,4.9,12,6,Operations Excellence
INC-0000184,2025-03-09,CHI-02,Chicago Distribution Campus,North America,Kitting,Supplier quality,low,4.0,15,4,Site Leadership
INC-0000185,2025-03-10,SIN-01,Singapore Control Tower,Asia Pacific,Inbound,Equipment reliability,low,12.9,23,8,Site Leadership
INC-0000186,2025-03-11,ATL-01,Atlanta Fulfillment Center,North America,Fulfillment,Process discipline,medium,4.6,28,6,Site Leadership
INC-0000187,2025-03-11,LHR-03,Milton Keynes Network Center,Europe,Fulfillment,Process discipline,low,19.4,47,8,Site Leadership
INC-0000188,2025-03-11,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Kitting,Inventory variance,critical,19.6,15,8,Operations Excellence
INC-0000189,2025-03-13,MAD-02,Madrid Service Center,Europe,Kitting,Process discipline,low,16.7,10,4,Site Leadership
INC-0000190,2025-03-14,ATL-01,Atlanta Fulfillment Center,North America,Inbound,Staffing instability,low,4.0,23,4,Site Leadership
INC-0000191,2025-03-14,ATL-01,Atlanta Fulfillment Center,North America,Kitting,Process discipline,critical,22.5,19,8,Operations Excellence
INC-0000192,2025-03-15,ATL-01,Atlanta Fulfillment Center,North America,Kitting,Process discipline,low,14.0,9,3,Site Leadership
INC-0000193,2025-03-15,CHI-02,Chicago Distribution Campus,North America,Inbound,Staffing instability,low,5.7,17,7,Site Leadership
INC-0000194,2025-03-16,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Kitting,Carrier exception,high,12.3,6,10,Operations Excellence
INC-0000195,2025-03-16,SYD-01,Sydney Service Campus,Asia Pacific,Kitting,Process discipline,medium,26.0,6,7,Site Leadership
INC-0000196,2025-03-17,MEX-01,Monterrey Export Gateway,Latin America,Returns,Staffing instability,high,16.4,20,9,Operations Excellence
INC-0000197,2025-03-17,FRA-01,Frankfurt Regional Hub,Europe,Fulfillment,Equipment reliability,low,6.8,23,5,Site Leadership
INC-0000198,2025-03-17,SIN-01,Singapore Control Tower,Asia Pacific,Fulfillment,Supplier quality,low,20.0,17,7,Site Leadership
INC-0000199,2025-03-17,SYD-01,Sydney Service Campus,Asia Pacific,Inbound,Process discipline,low,8.8,13,10,Site Leadership
INC-0000200,2025-03-18,CHI-02,Chicago Distribution Campus,North America,Inbound,Supplier quality,low,8.9,18,4,Site Leadership
INC-0000201,2025-03-18,CHI-02,Chicago Distribution Campus,North America,Fulfillment,Carrier exception,critical,33.8,29,6,Operations Excellence
INC-0000202,2025-03-18,MEX-01,Monterrey Export Gateway,Latin America,Returns,Carrier exception,medium,12.4,5,6,Site Leadership
INC-0000203,2025-03-18,LHR-03,Milton Keynes Network Center,Europe,Fulfillment,Process discipline,high,22.1,14,7,Operations Excellence
INC-0000204,2025-03-19,ATL-01,Atlanta Fulfillment Center,North America,Returns,Carrier exception,critical,19.4,16,11,Operations Excellence
INC-0000205,2025-03-19,MEX-01,Monterrey Export Gateway,Latin America,Returns,Staffing instability,low,12.1,11,3,Site Leadership
INC-0000206,2025-03-20,ATL-01,Atlanta Fulfillment Center,North America,Fulfillment,Carrier exception,low,20.2,19,6,Site Leadership
INC-0000207,2025-03-20,DAL-03,Dallas Omni-Channel Hub,North America,Inbound,Process discipline,low,9.1,12,3,Site Leadership
INC-0000208,2025-03-20,MEX-01,Monterrey Export Gateway,Latin America,Returns,Carrier exception,low,7.9,6,3,Site Leadership
